url_length,dot_count,at_symbol_present,hyphen_count,digit_to_letter_ratio,iframe_count,hidden_forms,password_fields,external_link_ratio,empty_anchors,domain_age_days,ssl_days_to_expire,label
95,5,0,4,0.542,1,2,1,0.839,10,21,11,1
42,2,0,1,0.091,0,0,1,0.003,3,1405,154,0
36,1,0,1,0.022,0,0,0,0.116,1,2701,109,0
74,5,0,6,0.478,2,2,1,0.681,7,20,20,1
49,1,0,2,0.004,1,0,0,0.045,1,1659,103,0
34,3,0,1,0.009,1,0,0,0.102,0,1135,158,0
56,1,0,2,0.053,0,0,0,0.099,0,1209,219,0
39,2,0,1,0.019,0,0,0,0.096,2,1464,312,0
96,7,0,4,0.489,4,1,2,0.825,15,5,25,1
47,1,0,1,0.077,1,0,1,0.148,0,3223,233,0
84,6,1,5,0.482,4,0,2,0.927,6,12,0,1
123,7,0,4,0.539,3,0,1,0.97,20,29,10,1
89,5,0,5,0.273,5,0,2,0.867,10,35,17,1
95,3,1,2,0.154,2,3,1,0.777,8,40,26,1
92,3,0,6,0.354,5,0,1,0.605,19,21,20,1
34,1,0,1,0.017,1,0,1,0.209,1,3162,363,0
79,6,0,2,0.325,4,2,2,0.614,19,5,27,1
37,2,0,2,0.046,1,0,1,0.284,1,3334,343,0
48,3,0,0,0.085,1,0,1,0.093,3,2934,319,0
65,6,1,6,0.447,2,2,1,0.664,20,16,0,1
31,2,0,0,0.081,0,0,0,0.009,3,1993,211,0
22,2,0,0,0.027,0,0,0,0.195,0,2191,166,0
35,1,0,2,0.004,1,0,0,0.032,0,2723,180,0
70,7,1,6,0.436,4,3,0,0.721,18,9,13,1
48,3,0,2,0.022,0,0,1,0.223,0,794,192,0
49,1,0,2,0.084,1,0,0,0.137,0,3074,163,0
33,2,0,1,0.07,0,0,0,0.058,1,2545,169,0
50,3,1,6,0.321,1,2,2,0.885,9,32,1,1
23,2,0,0,0.065,1,0,0,0.271,0,2548,112,0
26,3,0,1,0.003,1,0,1,0.251,3,3042,124,0
60,1,0,2,0.056,0,0,0,0.238,3,1182,357,0
122,3,1,2,0.229,2,1,0,0.751,9,39,21,1
109,5,0,5,0.203,2,2,0,0.624,20,-1,30,1
120,5,0,2,0.413,1,3,0,0.601,8,28,25,1
60,1,0,0,0.033,0,0,1,0.016,3,1768,169,0
149,5,1,2,0.178,1,3,1,0.627,20,34,14,1
29,1,0,0,0.027,1,0,0,0.243,3,3151,347,0
54,3,0,0,0.038,1,0,0,0.008,1,438,174,0
24,3,0,0,0.059,1,0,1,0.012,1,1300,247,0
101,5,0,6,0.391,3,1,2,0.758,17,27,0,1
114,6,0,2,0.551,5,2,0,0.733,12,19,9,1
58,1,0,1,0.044,0,0,0,0.069,0,2099,353,0
44,3,0,1,0.09,1,0,0,0.034,2,2359,246,0
42,2,0,2,0.088,0,0,0,0.043,2,1845,267,0
44,1,0,1,0.04,1,0,1,0.255,2,1548,343,0
21,2,0,0,0.095,0,0,0,0.174,2,2178,290,0
60,4,1,6,0.128,4,3,1,0.721,18,32,11,1
77,6,0,4,0.254,2,0,1,0.802,5,18,28,1
138,4,1,2,0.17,4,2,2,0.99,10,31,7,1
53,3,0,0,0.0,1,0,1,0.016,3,1087,145,0
126,5,0,4,0.433,1,1,0,0.685,5,22,23,1
52,5,1,4,0.119,3,1,0,0.926,18,38,0,1
116,5,0,5,0.296,3,1,0,0.706,7,24,11,1
75,5,0,6,0.194,5,0,0,0.757,11,13,4,1
34,3,0,2,0.012,1,0,0,0.05,3,1533,299,0
28,1,0,1,0.094,1,0,0,0.15,2,3531,148,0
53,1,0,0,0.087,1,0,0,0.003,0,3186,156,0
52,3,0,1,0.001,1,0,1,0.021,2,2071,278,0
44,2,0,2,0.002,1,0,0,0.112,1,445,332,0
136,7,1,5,0.165,3,0,1,0.627,19,35,8,1
80,5,0,4,0.249,2,2,1,0.974,10,35,27,1
45,2,0,0,0.011,1,0,0,0.21,0,761,236,0
110,8,1,4,0.25,5,0,0,0.675,19,11,0,1
102,7,0,2,0.122,2,3,1,0.814,14,37,23,1
25,3,0,0,0.08,0,0,0,0.092,1,2500,194,0
88,7,1,5,0.525,2,3,2,0.998,12,11,8,1
101,4,1,5,0.453,4,2,1,0.784,18,36,-1,1
111,5,0,6,0.121,3,1,1,0.611,19,18,1,1
69,4,0,6,0.428,3,1,0,0.93,10,11,15,1
69,8,0,6,0.112,4,1,2,0.773,6,14,16,1
106,8,0,3,0.31,2,2,2,0.605,9,21,2,1
99,8,0,2,0.113,1,3,0,0.986,20,30,25,1
63,7,0,2,0.334,1,0,0,0.728,11,-1,0,1
53,1,0,2,0.039,1,0,1,0.146,3,2143,260,0
41,2,0,0,0.007,0,0,0,0.105,2,841,261,0
118,6,1,6,0.136,4,0,2,0.843,16,43,21,1
56,4,0,4,0.47,2,3,0,0.845,11,26,7,1
39,2,0,0,0.042,1,0,1,0.024,3,2308,253,0
139,7,0,3,0.34,1,0,0,0.84,7,16,9,1
136,4,0,2,0.446,4,2,1,0.849,9,28,0,1
119,8,0,2,0.55,4,2,2,0.824,13,39,14,1
41,2,0,0,0.087,0,0,1,0.0,2,1237,178,0
110,6,0,2,0.377,3,3,1,0.973,5,11,28,1
98,5,0,5,0.177,2,1,2,0.676,6,3,4,1
38,1,0,1,0.048,1,0,1,0.108,1,3114,339,0
73,3,0,4,0.409,5,0,0,0.639,10,15,17,1
52,1,0,0,0.002,0,0,1,0.15,3,964,92,0
44,2,0,1,0.062,0,0,1,0.057,3,2917,290,0
99,3,0,3,0.497,2,1,0,0.876,5,28,21,1
54,5,0,4,0.213,4,0,1,0.991,14,21,20,1
122,4,0,4,0.179,5,1,1,0.643,6,4,-1,1
69,5,0,3,0.153,1,1,1,0.62,12,10,0,1
64,5,0,4,0.346,2,1,1,0.929,9,45,16,1
114,7,0,5,0.554,5,0,1,0.88,10,8,22,1
135,5,0,2,0.154,2,3,1,0.792,15,17,12,1
44,3,0,0,0.053,1,0,1,0.063,2,1887,90,0
45,2,0,2,0.042,0,0,0,0.205,2,3434,156,0
57,2,0,1,0.03,1,0,1,0.259,0,543,355,0
141,3,0,3,0.327,4,1,1,0.63,18,24,16,1
22,1,0,0,0.054,0,0,1,0.094,0,492,336,0
41,2,0,2,0.034,1,0,1,0.074,3,1464,192,0
35,2,0,0,0.029,1,0,1,0.299,0,548,262,0
108,6,1,5,0.529,2,3,1,0.84,5,33,20,1
33,1,0,0,0.064,1,0,0,0.224,1,740,113,0
127,7,0,5,0.518,4,2,0,0.81,10,40,30,1
104,8,1,3,0.11,4,0,2,0.966,14,43,18,1
52,1,0,2,0.009,1,0,0,0.017,0,1809,352,0
33,1,0,0,0.089,1,0,1,0.248,1,826,195,0
136,8,1,2,0.298,3,1,0,0.888,19,10,11,1
46,3,0,1,0.058,1,0,0,0.26,3,1565,225,0
65,8,1,3,0.408,2,0,2,0.717,18,3,2,1
21,1,0,0,0.039,1,0,0,0.027,2,1560,173,0
60,8,0,6,0.182,3,2,2,0.854,17,25,12,1
146,5,1,6,0.546,4,0,2,0.683,15,1,27,1
24,3,0,1,0.095,1,0,0,0.109,2,1780,165,0
92,8,0,6,0.503,2,3,0,0.968,12,35,23,1
74,4,0,4,0.554,4,2,1,0.605,16,11,24,1
49,2,0,0,0.086,1,0,0,0.01,2,1147,202,0
66,3,0,2,0.563,3,0,2,0.826,17,32,30,1
59,3,0,0,0.061,0,0,1,0.23,1,1614,238,0
25,3,0,1,0.003,1,0,0,0.078,0,3635,292,0
32,3,0,0,0.094,1,0,0,0.274,2,1530,362,0
56,1,0,1,0.081,1,0,0,0.182,2,2818,175,0
26,3,0,0,0.026,1,0,0,0.162,2,1712,219,0
44,3,0,2,0.067,0,0,0,0.228,2,2437,123,0
40,3,0,1,0.074,0,0,1,0.23,0,3026,322,0
72,8,0,2,0.396,3,1,2,0.89,19,45,30,1
46,1,0,1,0.035,0,0,0,0.126,0,1604,236,0
58,3,0,0,0.01,1,0,1,0.027,0,1220,223,0
43,3,0,1,0.06,0,0,1,0.128,0,3495,128,0
56,1,0,2,0.09,0,0,1,0.127,2,1944,253,0
28,1,0,1,0.036,0,0,1,0.274,0,2143,139,0
131,3,1,2,0.123,1,3,2,0.711,6,25,18,1
56,2,0,2,0.042,1,0,0,0.241,3,1173,321,0
27,2,0,0,0.055,0,0,1,0.111,0,3595,201,0
118,3,1,5,0.198,1,3,2,0.987,12,24,23,1
50,3,0,0,0.081,1,0,1,0.161,1,1541,255,0
34,3,0,1,0.055,1,0,0,0.019,0,959,280,0
146,5,0,2,0.559,2,3,1,0.946,5,10,18,1
76,5,0,4,0.333,3,3,0,0.806,15,10,6,1
24,2,0,1,0.003,1,0,0,0.238,2,938,287,0
141,7,1,4,0.473,5,0,0,0.687,19,10,14,1
53,3,0,1,0.06,0,0,1,0.137,3,1756,253,0
115,7,1,5,0.57,3,0,1,0.681,19,45,17,1
60,1,0,1,0.027,1,0,1,0.289,3,2303,244,0
60,4,0,3,0.496,5,1,2,0.651,18,5,2,1
31,1,0,1,0.0,0,0,0,0.047,2,1933,231,0
23,2,0,1,0.079,0,0,0,0.218,1,2198,237,0
31,3,0,2,0.039,0,0,1,0.125,0,687,123,0
23,1,0,0,0.024,1,0,0,0.013,0,3261,245,0
20,3,0,2,0.055,1,0,0,0.299,1,3389,241,0
71,5,0,2,0.552,4,2,1,0.869,9,29,2,1
47,2,0,0,0.098,0,0,0,0.066,0,937,349,0
28,3,0,2,0.05,1,0,0,0.015,2,1248,337,0
141,7,0,2,0.479,4,2,0,0.774,19,20,8,1
132,5,0,5,0.561,3,0,1,0.758,9,5,-1,1
94,5,0,3,0.391,5,0,2,0.762,15,10,30,1
85,5,0,6,0.194,5,2,1,0.612,6,29,21,1
138,4,0,6,0.106,3,0,0,0.775,12,45,10,1
42,3,0,1,0.025,0,0,1,0.289,2,2586,344,0
33,3,0,2,0.018,0,0,0,0.251,2,2216,280,0
57,5,0,4,0.413,4,3,2,0.882,6,14,24,1
83,7,1,6,0.242,4,0,0,0.871,7,43,8,1
59,1,0,0,0.032,1,0,1,0.213,1,1116,251,0
21,3,0,0,0.074,1,0,1,0.106,1,2419,204,0
53,5,1,5,0.377,3,1,1,0.878,9,29,18,1
54,2,0,2,0.088,0,0,1,0.284,2,1022,272,0
59,1,0,1,0.06,1,0,0,0.132,3,902,358,0
138,3,0,2,0.55,2,1,2,0.67,11,11,8,1
44,2,0,0,0.066,1,0,1,0.087,0,1874,142,0
49,1,0,1,0.076,1,0,1,0.013,1,495,339,0
49,1,0,0,0.03,0,0,1,0.015,2,2174,224,0
49,2,0,1,0.023,0,0,0,0.132,1,518,183,0
146,6,0,5,0.145,2,2,1,0.833,7,36,19,1
30,2,0,0,0.073,0,0,1,0.035,3,2851,239,0
24,1,0,1,0.003,1,0,0,0.244,3,2584,93,0
141,7,1,2,0.128,1,3,2,0.967,14,7,6,1
140,5,1,5,0.384,5,0,0,0.636,5,22,29,1
106,6,1,5,0.196,3,3,2,0.683,18,12,27,1
87,5,0,6,0.298,2,1,1,0.752,7,34,29,1
76,4,1,2,0.453,3,0,1,0.753,7,38,6,1
29,1,0,1,0.059,1,0,0,0.164,2,1378,214,0
147,6,0,3,0.492,2,3,0,0.939,19,45,10,1
150,8,0,3,0.332,4,3,1,0.827,8,42,3,1
109,7,0,6,0.2,5,3,0,0.724,9,43,13,1
115,3,1,3,0.219,2,3,0,0.823,18,9,8,1
112,4,1,2,0.29,3,0,1,0.855,19,7,4,1
149,3,0,4,0.571,3,1,0,0.737,14,32,-1,1
46,3,0,1,0.029,0,0,0,0.202,2,640,311,0
31,1,0,2,0.026,1,0,1,0.053,3,2698,277,0
50,3,0,2,0.074,1,0,0,0.066,1,1641,165,0
20,3,0,1,0.012,0,0,0,0.017,1,2814,146,0
131,8,0,6,0.461,4,2,1,0.819,7,20,10,1
33,3,0,2,0.079,0,0,1,0.279,2,2313,292,0
28,2,0,1,0.1,1,0,0,0.027,3,2962,331,0
56,3,0,2,0.037,1,0,1,0.103,2,499,136,0
46,3,0,2,0.062,0,0,0,0.256,2,1463,145,0
110,7,1,4,0.334,2,3,2,0.951,17,3,27,1
38,1,0,1,0.068,1,0,0,0.06,1,1328,167,0
114,5,0,3,0.258,1,3,1,0.922,11,0,18,1
34,1,0,2,0.057,1,0,0,0.232,1,2783,149,0
60,1,0,0,0.016,1,0,1,0.014,3,1736,142,0
62,4,0,6,0.368,3,0,0,0.929,20,39,20,1
143,6,0,3,0.456,4,3,1,0.951,20,21,20,1
86,8,1,2,0.287,2,0,2,0.969,16,20,3,1
147,7,0,2,0.106,4,0,1,0.693,17,18,5,1
52,3,0,0,0.086,0,0,0,0.247,0,2097,309,0
51,1,0,2,0.042,1,0,1,0.074,0,2894,289,0
39,1,0,2,0.041,1,0,0,0.094,1,1693,120,0
24,2,0,2,0.035,0,0,0,0.084,1,2556,282,0
75,7,0,6,0.14,3,1,2,0.849,20,43,12,1
48,3,0,0,0.034,1,0,1,0.245,0,995,99,0
79,3,1,4,0.326,2,0,1,0.923,14,40,10,1
112,8,1,4,0.476,2,1,1,0.687,12,11,4,1
69,5,1,4,0.505,1,1,1,0.677,8,38,18,1
134,7,0,2,0.573,5,3,0,0.846,11,16,-1,1
60,3,0,6,0.259,2,2,1,0.774,5,35,3,1
36,2,0,0,0.032,0,0,1,0.049,2,2123,228,0
26,2,0,2,0.067,0,0,0,0.145,1,1790,239,0
68,4,1,2,0.365,5,3,2,0.744,15,0,30,1
123,3,0,4,0.509,5,1,2,0.693,9,45,20,1
112,5,1,5,0.18,5,0,2,0.752,14,31,5,1
36,1,0,1,0.069,0,0,0,0.084,0,1747,224,0
57,2,0,0,0.04,0,0,0,0.259,1,2895,166,0
47,1,0,0,0.066,0,0,1,0.091,1,593,320,0
82,8,0,3,0.356,1,3,1,0.703,16,43,4,1
41,2,0,0,0.019,0,0,1,0.183,0,1827,284,0
42,2,0,2,0.003,1,0,0,0.01,1,413,286,0
47,2,0,2,0.001,1,0,1,0.038,3,313,330,0
30,3,0,2,0.053,1,0,0,0.256,3,845,282,0
51,3,0,0,0.069,0,0,1,0.102,3,2435,178,0
49,3,0,0,0.066,1,0,0,0.23,2,2673,103,0
42,1,0,0,0.045,1,0,1,0.172,1,2366,300,0
119,3,0,5,0.595,4,2,1,0.774,10,3,18,1
30,3,0,2,0.049,0,0,1,0.243,0,1887,358,0
109,7,1,6,0.5,3,0,1,0.765,14,16,18,1
29,3,0,0,0.092,1,0,1,0.034,2,3513,345,0
100,4,1,3,0.297,4,2,0,0.679,12,1,30,1
147,4,0,6,0.517,4,2,1,0.925,20,32,3,1
137,8,0,3,0.506,3,0,0,0.894,7,37,25,1
